Threads	Seq.time	Blocks=2	Blocks=4	Blocks=8	Blocks=16	Blocks=32	Blocks=64	Blocks=128	Blocks=256	Blocks=512	Blocks=1024	
2	1.000000	1.950976	1.939522	1.952424	1.944659	1.872600	1.962373	1.914811	1.965418	1.906386	1.946618	
4	1.000000	2.647288	3.507911	3.551767	3.679074	3.759507	3.868452	3.687111	3.692587	3.914664	3.757834	
8	1.000000	4.404806	2.300686	7.779139	1.990673	3.166708	7.181417	2.051070	3.277097	7.862124	1.837229	
16	1.000000	3.773111	12.076474	6.660975	3.292014	3.094032	7.601484	14.250501	7.044150	2.995971	3.148288	
32	1.000000	9.161596	21.011506	22.882127	3.517649	5.626543	3.313525	11.654461	24.423528	24.145047	20.904417	
64	1.000000	4.249540	7.174481	5.335136	6.560200	8.430390	18.072578	27.716528	26.440374	25.428563	12.370663	
128	1.000000	4.664624	8.348528	9.011918	8.538652	7.946151	8.046748	14.167870	24.982702	21.333228	14.837385	
256	1.000000	6.704135	6.973131	10.225750	11.031548	6.327664	7.762668	7.431519	15.794930	16.408078	11.791468	
