Threads	Seq.time	Blocks=10	Blocks=20	Blocks=30	Blocks=40	Blocks=50	Blocks=60	Blocks=70	Blocks=80	Blocks=90	Blocks=100	
2	1.000000	1.668115	1.732843	1.754787	1.754041	1.755046	1.755212	1.754062	1.752396	1.754742	1.756302	
4	1.000000	3.159957	3.168010	3.203804	3.193273	3.187220	3.200635	3.203141	3.182491	3.204233	3.205992	
8	1.000000	3.156508	3.165170	3.194332	3.197638	3.195899	3.200578	3.200072	3.203241	3.199172	3.203289	
16	1.000000	3.185837	3.198212	3.202712	3.201275	3.197014	3.202723	3.202301	3.204180	3.195928	3.187950	
32	1.000000	3.173215	3.175077	3.174430	3.174141	3.183516	3.124371	3.116470	3.158877	3.171739	3.176219	
