Threads	Seq.time	Blocks=2	Blocks=4	Blocks=8	Blocks=16	Blocks=32	Blocks=64	Blocks=128	Blocks=256	Blocks=512	Blocks=1024	
2	5.773179	2.959124	2.976599	2.956930	2.968736	3.082975	2.941938	3.015013	2.937380	3.028337	2.965749	
4	5.773179	2.180790	1.645760	1.625439	1.569194	1.535621	1.492374	1.565773	1.563451	1.474757	1.536305	
8	5.773179	1.310655	2.509329	0.742136	2.900114	1.823086	0.803905	2.814717	1.761675	0.734303	3.142329	
16	5.773179	1.530085	0.478052	0.866717	1.753692	1.865908	0.759481	0.405121	0.819571	1.926981	1.833752	
32	5.773179	0.630150	0.274763	0.252301	1.641204	1.026062	1.742307	0.495362	0.236378	0.239104	0.276170	
64	5.773179	1.358542	0.804682	1.082105	0.880031	0.684806	0.319444	0.208294	0.218347	0.227035	0.466683	
128	5.773179	1.237651	0.691521	0.640616	0.676123	0.726538	0.717455	0.407484	0.231087	0.270619	0.389097	
256	5.773179	0.861137	0.827918	0.564573	0.523334	0.912371	0.743711	0.776850	0.365508	0.351850	0.489607	
