Threads	Seq.time	Blocks=10	Blocks=20	Blocks=30	Blocks=40	Blocks=50	Blocks=60	Blocks=70	Blocks=80	Blocks=90	Blocks=100	
2	0.752033	0.450828	0.433988	0.428561	0.428743	0.428498	0.428457	0.428738	0.429146	0.428572	0.428191	
4	0.752033	0.237989	0.237384	0.234731	0.235506	0.235953	0.234964	0.234780	0.236303	0.234700	0.234571	
8	0.752033	0.238249	0.237597	0.235427	0.235184	0.235312	0.234968	0.235005	0.234773	0.235071	0.234769	
16	0.752033	0.236055	0.235142	0.234811	0.234917	0.235230	0.234811	0.234842	0.234704	0.235310	0.235899	
32	0.752033	0.236994	0.236855	0.236903	0.236925	0.236227	0.240699	0.241309	0.238070	0.237104	0.236770	
